dataset_id	file_name	source_url	size_bytes_expected	dest
GSE230649	GSM7230493_H3K27Ac_COLO668_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230493/suppl/GSM7230493_H3K27Ac_COLO668_R1_treat_pileup.bedgraph.gz	442682881	data/raw/GSE230649/GSM7230493_H3K27Ac_COLO668_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230494_H3K27Ac_H1048_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230494/suppl/GSM7230494_H3K27Ac_H1048_R1_treat_pileup.bedgraph.gz	411111936	data/raw/GSE230649/GSM7230494_H3K27Ac_H1048_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230495_H3K27Ac_H196_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230495/suppl/GSM7230495_H3K27Ac_H196_R1_treat_pileup.bedgraph.gz	233888997	data/raw/GSE230649/GSM7230495_H3K27Ac_H196_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230496_H3K27Ac_H211_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230496/suppl/GSM7230496_H3K27Ac_H211_R1_treat_pileup.bedgraph.gz	605971005	data/raw/GSE230649/GSM7230496_H3K27Ac_H211_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230497_H3K27Ac_H524_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230497/suppl/GSM7230497_H3K27Ac_H524_R1_treat_pileup.bedgraph.gz	237866964	data/raw/GSE230649/GSM7230497_H3K27Ac_H524_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230498_H3K27Ac_H526_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230498/suppl/GSM7230498_H3K27Ac_H526_R1_treat_pileup.bedgraph.gz	261364359	data/raw/GSE230649/GSM7230498_H3K27Ac_H526_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230499_H3K27Ac_H69_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230499/suppl/GSM7230499_H3K27Ac_H69_R1_treat_pileup.bedgraph.gz	213675840	data/raw/GSE230649/GSM7230499_H3K27Ac_H69_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230500_H3K27Ac_H847_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230500/suppl/GSM7230500_H3K27Ac_H847_R1_treat_pileup.bedgraph.gz	467976341	data/raw/GSE230649/GSM7230500_H3K27Ac_H847_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230501_H3K27Ac_H889_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230501/suppl/GSM7230501_H3K27Ac_H889_R1_treat_pileup.bedgraph.gz	235781569	data/raw/GSE230649/GSM7230501_H3K27Ac_H889_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230502_H3K27Ac_SHP77_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230502/suppl/GSM7230502_H3K27Ac_SHP77_R1_treat_pileup.bedgraph.gz	390389043	data/raw/GSE230649/GSM7230502_H3K27Ac_SHP77_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230503_MYC_H1048_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230503/suppl/GSM7230503_MYC_H1048_R1_treat_pileup.bedgraph.gz	252749930	data/raw/GSE230649/GSM7230503_MYC_H1048_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230504_MYC_H211_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230504/suppl/GSM7230504_MYC_H211_R1_treat_pileup.bedgraph.gz	223798371	data/raw/GSE230649/GSM7230504_MYC_H211_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230505_MYC_H524_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230505/suppl/GSM7230505_MYC_H524_R1_treat_pileup.bedgraph.gz	356112450	data/raw/GSE230649/GSM7230505_MYC_H524_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230506_MYC_H847_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230506/suppl/GSM7230506_MYC_H847_R1_treat_pileup.bedgraph.gz	310981839	data/raw/GSE230649/GSM7230506_MYC_H847_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230507_MYC_SHP77_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230507/suppl/GSM7230507_MYC_SHP77_R1_treat_pileup.bedgraph.gz	180429727	data/raw/GSE230649/GSM7230507_MYC_SHP77_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230508_MYCL1_COLO668_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230508/suppl/GSM7230508_MYCL1_COLO668_R1_treat_pileup.bedgraph.gz	399647454	data/raw/GSE230649/GSM7230508_MYCL1_COLO668_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230509_MYCL1_H889_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230509/suppl/GSM7230509_MYCL1_H889_R1_treat_pileup.bedgraph.gz	323993535	data/raw/GSE230649/GSM7230509_MYCL1_H889_R1_treat_pileup.bedgraph.gz
GSE230649	GSM7230510_MYCN_H526_R1_treat_pileup.bedgraph.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7230nnn/GSM7230510/suppl/GSM7230510_MYCN_H526_R1_treat_pileup.bedgraph.gz	442140865	data/raw/GSE230649/GSM7230510_MYCN_H526_R1_treat_pileup.bedgraph.gz
