#Archive/File	Name	Time	Size	Type
Archive	GSE261345_RAW.tar	04/10/2024 00:16:45	4423680	TAR
File	GSM8140828_DSP-1001660006116-A-A02.dcc.gz	03/11/2024 15:26:33	36530	DCC
File	GSM8140829_DSP-1001660006116-A-A03.dcc.gz	03/11/2024 15:26:33	36106	DCC
File	GSM8140830_DSP-1001660006116-A-A04.dcc.gz	03/11/2024 15:26:33	36189	DCC
File	GSM8140831_DSP-1001660006116-A-A05.dcc.gz	03/11/2024 15:26:33	36504	DCC
File	GSM8140832_DSP-1001660006116-A-A06.dcc.gz	03/11/2024 15:26:33	36314	DCC
File	GSM8140833_DSP-1001660006116-A-A07.dcc.gz	03/11/2024 15:26:33	36168	DCC
File	GSM8140834_DSP-1001660006116-A-A08.dcc.gz	03/11/2024 15:26:33	36012	DCC
File	GSM8140835_DSP-1001660006116-A-A09.dcc.gz	03/11/2024 15:26:33	35645	DCC
File	GSM8140836_DSP-1001660006116-A-A10.dcc.gz	03/11/2024 15:26:33	35817	DCC
File	GSM8140837_DSP-1001660006116-A-A11.dcc.gz	03/11/2024 15:26:34	34820	DCC
File	GSM8140838_DSP-1001660006116-A-A12.dcc.gz	03/11/2024 15:26:34	35410	DCC
File	GSM8140839_DSP-1001660006116-A-B01.dcc.gz	03/11/2024 15:26:34	36738	DCC
File	GSM8140840_DSP-1001660006116-A-B02.dcc.gz	03/11/2024 15:26:34	36480	DCC
File	GSM8140841_DSP-1001660006116-A-B03.dcc.gz	03/11/2024 15:26:34	35328	DCC
File	GSM8140842_DSP-1001660006116-A-B04.dcc.gz	03/11/2024 15:26:34	36231	DCC
File	GSM8140843_DSP-1001660006116-A-B05.dcc.gz	03/11/2024 15:26:34	36711	DCC
File	GSM8140844_DSP-1001660006116-A-B06.dcc.gz	03/11/2024 15:26:34	34999	DCC
File	GSM8140845_DSP-1001660006116-A-B07.dcc.gz	03/11/2024 15:26:34	35470	DCC
