"window","locus","assay","line","n_regions","ratio"
"tight","MYC","H3K27ac","COLO668",37,2.38
"tight","MYCN","H3K27ac","COLO668",15,0.44
"tight","MYCL1","H3K27ac","COLO668",21,71.22
"tight","MYC","H3K27ac","H1048",37,1.58
"tight","MYCN","H3K27ac","H1048",15,1.09
"tight","MYCL1","H3K27ac","H1048",21,1.49
"tight","MYC","H3K27ac","H196",37,4.01
"tight","MYCN","H3K27ac","H196",15,0.3
"tight","MYCL1","H3K27ac","H196",21,1.94
"tight","MYC","H3K27ac","H211",37,7.88
"tight","MYCN","H3K27ac","H211",15,0.58
"tight","MYCL1","H3K27ac","H211",21,1.35
"tight","MYC","H3K27ac","H524",37,82.09
"tight","MYCN","H3K27ac","H524",15,0.9
"tight","MYCL1","H3K27ac","H524",21,1.28
"tight","MYC","H3K27ac","H526",37,1.37
"tight","MYCN","H3K27ac","H526",15,37.88
"tight","MYCL1","H3K27ac","H526",21,2.41
"tight","MYC","H3K27ac","H69",37,1.35
"tight","MYCN","H3K27ac","H69",15,44.03
"tight","MYCL1","H3K27ac","H69",21,0.98
"tight","MYC","H3K27ac","H847",37,1.61
"tight","MYCN","H3K27ac","H847",15,1.32
"tight","MYCL1","H3K27ac","H847",21,2.1
"tight","MYC","H3K27ac","H889",37,0.74
"tight","MYCN","H3K27ac","H889",15,0.39
"tight","MYCL1","H3K27ac","H889",21,36.59
"tight","MYC","H3K27ac","SHP77",37,2.66
"tight","MYCN","H3K27ac","SHP77",15,0.74
"tight","MYCL1","H3K27ac","SHP77",21,3.46
"tight","MYC","MYC","H1048",37,1.14
"tight","MYCN","MYC","H1048",15,0.72
"tight","MYCL1","MYC","H1048",21,1.47
"tight","MYC","MYC","H211",37,4.66
"tight","MYCN","MYC","H211",15,0.62
"tight","MYCL1","MYC","H211",21,2.28
"tight","MYC","MYC","H524",37,63.62
"tight","MYCN","MYC","H524",15,1.68
"tight","MYCL1","MYC","H524",21,1.92
"tight","MYC","MYC","H847",37,2.17
"tight","MYCN","MYC","H847",15,1.47
"tight","MYCL1","MYC","H847",21,2.46
"tight","MYC","MYC","SHP77",37,1.33
"tight","MYCN","MYC","SHP77",15,1.32
"tight","MYCL1","MYC","SHP77",21,2.08
"tight","MYC","MYCL1","COLO668",37,1.29
"tight","MYCN","MYCL1","COLO668",15,0.78
"tight","MYCL1","MYCL1","COLO668",21,48.87
"tight","MYC","MYCL1","H889",37,0.8
"tight","MYCN","MYCL1","H889",15,0.81
"tight","MYCL1","MYCL1","H889",21,36.14
"tight","MYC","MYCN","H526",37,1.07
"tight","MYCN","MYCN","H526",15,21.35
"tight","MYCL1","MYCN","H526",21,2.13
"tight","MYC","MYCN","H69",37,0.92
"tight","MYCN","MYCN","H69",15,39.58
"tight","MYCL1","MYCN","H69",21,0.8
"tight","MYC","ATAC","COLO668",37,1.31
"tight","MYCN","ATAC","COLO668",15,0.69
"tight","MYCL1","ATAC","COLO668",21,22.18
"tight","MYC","ATAC","H1048",37,0.65
"tight","MYCN","ATAC","H1048",15,0.84
"tight","MYCL1","ATAC","H1048",21,2.06
"tight","MYC","ATAC","H196",37,27.82
"tight","MYCN","ATAC","H196",15,1.39
"tight","MYCL1","ATAC","H196",21,1.37
"tight","MYC","ATAC","H524",37,1.55
"tight","MYCN","ATAC","H524",15,0.52
"tight","MYCL1","ATAC","H524",21,2.18
"tight","MYC","ATAC","H526",37,0.75
"tight","MYCN","ATAC","H526",15,8.29
"tight","MYCL1","ATAC","H526",21,2
"tight","MYC","ATAC","H69",37,0.73
"tight","MYCN","ATAC","H69",15,15.07
"tight","MYCL1","ATAC","H69",21,0.67
"tight","MYC","ATAC","H847",37,0.98
"tight","MYCN","ATAC","H847",15,0.76
"tight","MYCL1","ATAC","H847",21,1.4
"tight","MYC","ATAC","H889",37,0.58
"tight","MYCN","ATAC","H889",15,0.68
"tight","MYCL1","ATAC","H889",21,19.56
"tight","MYC","ATAC","SHP77",37,1.47
"tight","MYCN","ATAC","SHP77",15,1.55
"tight","MYCL1","ATAC","SHP77",21,0.91
"broad","MYC","H3K27ac","COLO668",113,1.61
"broad","MYCN","H3K27ac","COLO668",66,0.49
"broad","MYCL1","H3K27ac","COLO668",90,12.36
"broad","MYC","H3K27ac","H1048",113,1.55
"broad","MYCN","H3K27ac","H1048",66,0.87
"broad","MYCL1","H3K27ac","H1048",90,1
"broad","MYC","H3K27ac","H196",113,1.55
"broad","MYCN","H3K27ac","H196",66,0.38
"broad","MYCL1","H3K27ac","H196",90,1.73
"broad","MYC","H3K27ac","H211",113,4.24
"broad","MYCN","H3K27ac","H211",66,0.71
"broad","MYCL1","H3K27ac","H211",90,1.31
"broad","MYC","H3K27ac","H524",113,1.46
"broad","MYCN","H3K27ac","H524",66,0.89
"broad","MYCL1","H3K27ac","H524",90,1.14
"broad","MYC","H3K27ac","H526",113,1.08
"broad","MYCN","H3K27ac","H526",66,9.38
"broad","MYCL1","H3K27ac","H526",90,1.86
"broad","MYC","H3K27ac","H69",113,0.93
"broad","MYCN","H3K27ac","H69",66,0.52
"broad","MYCL1","H3K27ac","H69",90,0.77
"broad","MYC","H3K27ac","H847",113,0.98
"broad","MYCN","H3K27ac","H847",66,1.08
"broad","MYCL1","H3K27ac","H847",90,1.64
"broad","MYC","H3K27ac","H889",113,0.54
"broad","MYCN","H3K27ac","H889",66,0.54
"broad","MYCL1","H3K27ac","H889",90,5
"broad","MYC","H3K27ac","SHP77",113,2.05
"broad","MYCN","H3K27ac","SHP77",66,0.73
"broad","MYCL1","H3K27ac","SHP77",90,1.32
"broad","MYC","MYC","H1048",113,1.05
"broad","MYCN","MYC","H1048",66,0.72
"broad","MYCL1","MYC","H1048",90,1.07
"broad","MYC","MYC","H211",113,3.69
"broad","MYCN","MYC","H211",66,0.47
"broad","MYCL1","MYC","H211",90,1.54
"broad","MYC","MYC","H524",113,1.38
"broad","MYCN","MYC","H524",66,1.01
"broad","MYCL1","MYC","H524",90,1.19
"broad","MYC","MYC","H847",113,1.01
"broad","MYCN","MYC","H847",66,0.96
"broad","MYCL1","MYC","H847",90,1.87
"broad","MYC","MYC","SHP77",113,1.23
"broad","MYCN","MYC","SHP77",66,1.12
"broad","MYCL1","MYC","SHP77",90,1.19
"broad","MYC","MYCL1","COLO668",113,1.14
"broad","MYCN","MYCL1","COLO668",66,0.7
"broad","MYCL1","MYCL1","COLO668",90,22.2
"broad","MYC","MYCL1","H889",113,0.75
"broad","MYCN","MYCL1","H889",66,0.79
"broad","MYCL1","MYCL1","H889",90,2.42
"broad","MYC","MYCN","H526",113,1
"broad","MYCN","MYCN","H526",66,7.9
"broad","MYCL1","MYCN","H526",90,1.7
"broad","MYC","MYCN","H69",113,0.88
"broad","MYCN","MYCN","H69",66,0.59
"broad","MYCL1","MYCN","H69",90,0.69
"broad","MYC","ATAC","COLO668",113,1.01
"broad","MYCN","ATAC","COLO668",66,0.73
"broad","MYCL1","ATAC","COLO668",90,12.07
"broad","MYC","ATAC","H1048",113,0.7
"broad","MYCN","ATAC","H1048",66,0.68
"broad","MYCL1","ATAC","H1048",90,1.22
"broad","MYC","ATAC","H196",113,1.77
"broad","MYCN","ATAC","H196",66,1.03
"broad","MYCL1","ATAC","H196",90,1.11
"broad","MYC","ATAC","H524",113,0.97
"broad","MYCN","ATAC","H524",66,0.46
"broad","MYCL1","ATAC","H524",90,1.8
"broad","MYC","ATAC","H526",113,0.79
"broad","MYCN","ATAC","H526",66,2.69
"broad","MYCL1","ATAC","H526",90,1.76
"broad","MYC","ATAC","H69",113,0.79
"broad","MYCN","ATAC","H69",66,0.51
"broad","MYCL1","ATAC","H69",90,0.65
"broad","MYC","ATAC","H847",113,0.63
"broad","MYCN","ATAC","H847",66,1
"broad","MYCL1","ATAC","H847",90,1.32
"broad","MYC","ATAC","H889",113,0.59
"broad","MYCN","ATAC","H889",66,0.76
"broad","MYCL1","ATAC","H889",90,2.46
"broad","MYC","ATAC","SHP77",113,1.58
"broad","MYCN","ATAC","SHP77",66,1.47
"broad","MYCL1","ATAC","SHP77",90,0.7
