"line","fe_cutoff","n_regions","median_width","mb","precision","recall","f1","jaccard"
"COLO668",2,13993,218,4.84,NA,NA,NA,NA
"COLO668",3,4985,314,2.2,NA,NA,NA,NA
"COLO668",4,1747,453,0.94,NA,NA,NA,NA
"COLO668",5,633,490,0.35,NA,NA,NA,NA
"COLO668",6,230,499,0.13,NA,NA,NA,NA
"COLO668",8,29,461,0.02,NA,NA,NA,NA
"H1048",2,16166,218,5.75,NA,NA,NA,NA
"H1048",3,5256,374,2.76,NA,NA,NA,NA
"H1048",4,1984,572,1.3,NA,NA,NA,NA
"H1048",5,771,647,0.54,NA,NA,NA,NA
"H1048",6,279,666,0.2,NA,NA,NA,NA
"H1048",8,41,813,0.04,NA,NA,NA,NA
"H196",2,3595,217,0.97,NA,NA,NA,NA
"H196",3,3060,219,0.84,NA,NA,NA,NA
"H196",4,1445,257,0.44,NA,NA,NA,NA
"H196",5,496,298,0.17,NA,NA,NA,NA
"H196",6,140,379.5,0.06,NA,NA,NA,NA
"H196",8,19,438,0.01,NA,NA,NA,NA
"H524",2,8273,244,3.24,0.4075,0.281,0.3326,0.1995
"H524",3,5967,284,2.55,0.466,0.2521,0.3272,0.1956
"H524",4,2802,437.5,1.5,0.5646,0.1799,0.2729,0.158
"H524",5,1320,549,0.8,0.6237,0.1056,0.1807,0.0993
"H524",6,540,596.5,0.34,0.6719,0.0484,0.0902,0.0473
"H524",8,75,519,0.05,0.696,0.007,0.0138,0.007
"H526",2,10430,279,4.78,NA,NA,NA,NA
"H526",3,6822,318,3.23,NA,NA,NA,NA
"H526",4,3701,372,1.83,NA,NA,NA,NA
"H526",5,1753,405,0.88,NA,NA,NA,NA
"H526",6,758,418,0.39,NA,NA,NA,NA
"H526",8,116,418,0.07,NA,NA,NA,NA
"H69",2,9515,287,3.93,NA,NA,NA,NA
"H69",3,6397,333,2.8,NA,NA,NA,NA
"H69",4,2813,427,1.41,NA,NA,NA,NA
"H69",5,1094,481,0.58,NA,NA,NA,NA
"H69",6,352,505,0.2,NA,NA,NA,NA
"H69",8,39,531,0.02,NA,NA,NA,NA
"H847",2,10457,271,4.24,NA,NA,NA,NA
"H847",3,6621,350,3.04,NA,NA,NA,NA
"H847",4,3215,468,1.76,NA,NA,NA,NA
"H847",5,1503,532,0.88,NA,NA,NA,NA
"H847",6,630,556.5,0.37,NA,NA,NA,NA
"H847",8,72,552,0.05,NA,NA,NA,NA
"H889",2,6308,220,2.23,NA,NA,NA,NA
"H889",3,3741,288,1.56,NA,NA,NA,NA
"H889",4,1530,482,0.84,NA,NA,NA,NA
"H889",5,700,594,0.43,NA,NA,NA,NA
"H889",6,301,600,0.18,NA,NA,NA,NA
"H889",8,39,553,0.02,NA,NA,NA,NA
"SHP77",2,9931,271,4.07,NA,NA,NA,NA
"SHP77",3,8050,294,3.37,NA,NA,NA,NA
"SHP77",4,4800,356,2.2,NA,NA,NA,NA
"SHP77",5,2594,413,1.28,NA,NA,NA,NA
"SHP77",6,1292,439,0.66,NA,NA,NA,NA
"SHP77",8,224,431.5,0.12,NA,NA,NA,NA
