"paralog","target","rho","p","fdr"
"MYC","NE_score",-0.59,0.0000000109,0.000000164
"MYC","ASCL1",-0.46,0.0000203,0.000152
"MYC","NEUROD1",-0.18,0.113,0.283
"MYC","POU2F3",0.407,0.000199,0.000746
"MYC","YAP1",0.447,0.0000356,0.000178
"MYCN","NE_score",0.069,0.543,0.627
"MYCN","ASCL1",-0.035,0.76,0.76
"MYCN","NEUROD1",0.371,0.000769,0.00231
"MYCN","POU2F3",0.051,0.655,0.702
"MYCN","YAP1",-0.12,0.291,0.479
"MYCL1","NE_score",0.103,0.367,0.5
"MYCL1","ASCL1",0.115,0.312,0.479
"MYCL1","NEUROD1",0.148,0.193,0.414
"MYCL1","POU2F3",0.093,0.416,0.52
"MYCL1","YAP1",-0.114,0.319,0.479
