"screen","drug","gene","n","rho_raw","p_raw","rho_ne_adjusted","p_ne_adjusted"
"PRISM","MOLIBRESIB","MYC",21,-0.055,0.811,0.029,0.902
"PRISM","MOLIBRESIB","MYCN",21,0.306,0.178,0.266,0.243
"PRISM","MOLIBRESIB","MYCL",21,0.046,0.843,-0.029,0.902
"GDSC1","MOLIBRESIB (GDSC1:275)","MYC",31,0.119,0.522,0.169,0.364
"GDSC1","MOLIBRESIB (GDSC1:275)","MYCN",31,-0.351,0.0529,-0.307,0.0927
"GDSC1","MOLIBRESIB (GDSC1:275)","MYCL",31,-0.007,0.969,-0.075,0.69
"GDSC1","PFI-1 (GDSC1:1219)","MYC",29,-0.279,0.142,-0.183,0.341
"GDSC1","PFI-1 (GDSC1:1219)","MYCN",29,0.119,0.538,0.091,0.638
"GDSC1","PFI-1 (GDSC1:1219)","MYCL",29,0.426,0.0213,0.429,0.0204
"GDSC2","BIRABRESIB (GDSC2:1626)","MYC",30,-0.39,0.033,-0.314,0.0912
"GDSC2","BIRABRESIB (GDSC2:1626)","MYCN",30,-0.189,0.318,-0.16,0.397
"GDSC2","BIRABRESIB (GDSC2:1626)","MYCL",30,0.621,0.000253,0.631,0.000187
"GDSC2","MOLIBRESIB (GDSC2:1624)","MYC",30,-0.326,0.0784,-0.231,0.219
"GDSC2","MOLIBRESIB (GDSC2:1624)","MYCN",30,-0.115,0.545,-0.111,0.561
"GDSC2","MOLIBRESIB (GDSC2:1624)","MYCL",30,0.617,0.000281,0.587,0.000648
"GDSC2","PFI-1 (GDSC2:2173)","MYC",34,-0.026,0.882,0.004,0.982
"GDSC2","PFI-1 (GDSC2:2173)","MYCN",34,-0.211,0.231,-0.13,0.465
"GDSC2","PFI-1 (GDSC2:2173)","MYCL",34,0.221,0.21,0.178,0.313
