"paralog","target","rho","p","fdr"
"MYC","NE_score",-0.441,0.000542,0.00813
"MYC","ASCL1",-0.409,0.00131,0.00982
"MYC","NEUROD1",0.096,0.467,0.584
"MYC","POU2F3",0.078,0.555,0.595
"MYC","YAP1",0.001,0.996,0.996
"MYCN","NE_score",-0.184,0.163,0.306
"MYCN","ASCL1",-0.199,0.13,0.306
"MYCN","NEUROD1",0.187,0.156,0.306
"MYCN","POU2F3",0.261,0.0455,0.136
"MYCN","YAP1",0.083,0.533,0.595
"MYCL","NE_score",0.278,0.0336,0.136
"MYCL","ASCL1",0.266,0.042,0.136
"MYCL","NEUROD1",0.12,0.366,0.549
"MYCL","POU2F3",-0.102,0.441,0.584
"MYCL","YAP1",-0.159,0.227,0.378
