"gene","mean_sclc","mean_other","delta","p","fdr","essential_sclc","selective"
"PDCD6IP",-0.823,-0.4569,-0.3661,0.000431634596583633,0.0152021209733662,TRUE,TRUE
"UBA2",-1.3451,-1.1979,-0.1471,0.000491145820988324,0.0168158104509385,TRUE,TRUE
"NAMPT",-0.7855,-0.4903,-0.2952,0.00133280204570852,0.0346969246361505,TRUE,TRUE
"NUTF2",-1.8393,-1.6524,-0.187,0.00154824018779648,0.0387480764391456,TRUE,TRUE
"SF3B4",-2.5524,-2.2119,-0.3405,0.000393544481007627,0.0143262635181037,TRUE,TRUE
"BET1",-0.5185,-0.4005,-0.1179,0.000908277994189319,0.0268978788632914,TRUE,TRUE
"TUBGCP3",-1.365,-1.1151,-0.2499,0.0000322888033057846,0.00180778041608678,TRUE,TRUE
"CIT",-0.8036,-0.5185,-0.2851,0.00000637930392814989,0.000448499154032523,TRUE,TRUE
"PMF1",-1.4596,-1.3083,-0.1513,0.00121466267337168,0.0327585453052802,TRUE,TRUE
"CKS1B",-1.3829,-0.7333,-0.6495,0.0000101677365436271,0.000668891811191469,TRUE,TRUE
"WDR36",-2.3278,-1.7814,-0.5464,0.00000257658808317512,0.000210003329610999,TRUE,TRUE
"DHFR",-1.2198,-0.8101,-0.4098,0.00179771037671793,0.0435708225515055,TRUE,TRUE
"DNA2",-2.8364,-2.7121,-0.1243,3.7289139381022e-19,1.12600974983348e-16,TRUE,TRUE
"DTYMK",-2.0596,-1.5684,-0.4912,0.0000488239302490111,0.00252847746147355,TRUE,TRUE
"DUT",-2.3672,-2.0174,-0.3499,0.000890220799104798,0.0265337655655508,TRUE,TRUE
"E2F3",-0.9466,-0.3861,-0.5605,0.0000146560250333296,0.000918244833720853,TRUE,TRUE
"EEF1A1",-2.779,-2.5296,-0.2494,0.0000000000267884312632907,0.00000000436675136167977,TRUE,TRUE
"EEF1B2",-1.4515,-1.1043,-0.3472,0.0000422996053944941,0.00225190384788029,TRUE,TRUE
"FDPS",-1.2699,-0.793,-0.477,0.000102212619324545,0.0047068911198953,TRUE,TRUE
"SMG1",-1.4888,-1.3602,-0.1286,0.0000106900825832909,0.000698267096397939,TRUE,TRUE
"TFIP11",-1.1694,-0.9456,-0.2238,0.00000647254132065523,0.00045332399667859,TRUE,TRUE
"GFPT1",-0.7138,-0.532,-0.1818,0.00148427214171077,0.0376070052961655,TRUE,TRUE
"RPL7L1",-2.1304,-1.9368,-0.1936,2.00587468935665e-37,1.11964278114998e-34,TRUE,TRUE
"H3-3A",-1.6654,-1.4494,-0.216,0.00125352043907253,0.0334352356690925,TRUE,TRUE
"KRT8",-0.6619,-0.5514,-0.1104,2.74419519238716e-30,1.26370188609429e-27,TRUE,TRUE
"MAT2A",-1.6265,-1.3427,-0.2838,0.000408297236163405,0.0146807000333443,TRUE,TRUE
"ASCL1",-0.6316,-0.0921,-0.5395,0.00121459737373338,0.0327585453052802,TRUE,TRUE
"RNASEK",-0.6266,-0.5247,-0.1019,0.00000177705412042249,0.000151543226380473,TRUE,TRUE
"MVD",-0.9794,-0.6818,-0.2976,0.000092117585219247,0.00434373162690506,TRUE,TRUE
"NDUFB1",-0.874,-0.7654,-0.1087,0.00000102491020660155,0.000092091931734637,TRUE,TRUE
"TMX2",-0.6533,-0.4105,-0.2427,0.00124290140630842,0.0333249547368284,TRUE,TRUE
"CCDC174",-0.9175,-0.6844,-0.2331,0.000502186411696822,0.0170669256521318,TRUE,TRUE
"CWC15",-0.6459,-0.4759,-0.17,0.0000038504033277481,0.000289487466518857,TRUE,TRUE
"CAB39",-0.5169,-0.2112,-0.3057,0.00107223356918416,0.0303844085844759,TRUE,TRUE
"PFAS",-0.6886,-0.4364,-0.2523,0.00150513909146098,0.0379270342882506,TRUE,TRUE
"POLD2",-1.2178,-1.0284,-0.1894,0.0000102875305914015,0.000674364104959489,TRUE,TRUE
"RRN3",-2.71,-2.4273,-0.2827,0.00015719350922463,0.0066716692164002,TRUE,TRUE
"CEP55",-0.5364,-0.2998,-0.2366,0.000429615020272966,0.0151890761486143,TRUE,TRUE
"UBE2Q1",-0.6179,-0.2755,-0.3424,0.000668100274743426,0.0213282618037676,TRUE,TRUE
"PSMA4",-1.7547,-1.4539,-0.3008,0.000303390564046632,0.0115463929540061,TRUE,TRUE
"PSMB2",-1.9696,-1.7267,-0.243,0.00213518991551959,0.0496593412170088,TRUE,TRUE
"PSMB5",-2.2505,-1.8878,-0.3627,0.000195297540280108,0.00797645386243812,TRUE,TRUE
"MRPS22",-0.7835,-0.5724,-0.211,0.00146525732343476,0.0372790606321385,TRUE,TRUE
"PSMC4",-1.3358,-1.1619,-0.1739,0.00000882678962837138,0.000595565805694509,TRUE,TRUE
"KNL1",-0.8299,-0.6599,-0.17,0.0000322716206046378,0.00180778041608678,TRUE,TRUE
"PSMD7",-2.455,-2.2007,-0.2543,0.00110443555982399,0.0309174817810911,TRUE,TRUE
"UPF1",-1.3601,-1.1775,-0.1825,0.000528301206057762,0.0176872268234324,TRUE,TRUE
"SPCS3",-1.1924,-0.9934,-0.199,0.000824259925351126,0.0251724933586691,TRUE,TRUE
"RPL21",-3.3747,-3.2381,-0.1366,0.00128573645455624,0.0338332364184657,TRUE,TRUE
"RPS2",-2.3004,-2.0279,-0.2725,0.00046392257039814,0.0160931332330202,TRUE,TRUE
"SDHB",-0.7778,-0.5242,-0.2536,0.000620970703060998,0.0199620948523274,TRUE,TRUE
"SDHC",-1.2726,-1.0057,-0.2669,0.000292027999561119,0.0111600741740992,TRUE,TRUE
"SDHD",-0.9819,-0.6551,-0.3267,0.0000173418501309506,0.00106478959804037,TRUE,TRUE
"SEC13",-1.7988,-1.6179,-0.1809,0.0000950650959399515,0.00444444718595607,TRUE,TRUE
"IPPK",-0.7564,-0.4856,-0.2708,0.000194644666295247,0.00796745500701879,TRUE,TRUE
"SKP2",-1.5933,-0.7311,-0.8622,0.000000722879186269732,0.0000669117317140124,TRUE,TRUE
"SLC2A1",-0.8611,-0.4787,-0.3824,0.000234274010726214,0.00934053523285037,TRUE,TRUE
"SNRPD3",-5.2723,-5.0841,-0.1882,0.0000110932929522314,0.000716977039228429,TRUE,TRUE
"TFDP1",-1.0165,-0.6539,-0.3626,0.00173448038930178,0.0422049257211872,TRUE,TRUE
"TFRC",-1.3871,-0.9307,-0.4564,0.0000711255239615215,0.00351241863638398,TRUE,TRUE
"TTK",-1.0202,-0.8292,-0.1911,0.0000821639507825611,0.00395159261988192,TRUE,TRUE
"UBTF",-1.9755,-1.7683,-0.2072,0.00142189163209668,0.0365289314689273,TRUE,TRUE
"UQCRC1",-0.6456,-0.4977,-0.1479,0.00107445797955305,0.0303844085844759,TRUE,TRUE
"YRDC",-2.4428,-1.9526,-0.4901,0.000104977884116269,0.00474702309106952,TRUE,TRUE
"CENPT",-0.8786,-0.7322,-0.1464,0.000916129181823137,0.027006941970708,TRUE,TRUE
"CDT1",-2.0171,-1.7481,-0.269,0.000852671142087762,0.0256218636823109,TRUE,TRUE
"SF3B5",-2.9834,-2.7622,-0.2212,0.00108921257857632,0.030724801986793,TRUE,TRUE
"NUF2",-1.8967,-1.6124,-0.2843,0.00208366060627977,0.0488308248952587,TRUE,TRUE
"SLC7A6OS",-1.393,-1.1758,-0.2173,0.000503718431176978,0.0170874650134069,TRUE,TRUE
"ZCCHC9",-0.6838,-0.547,-0.1368,0.000484472365634804,0.0166492182369274,TRUE,TRUE
"PPP1R15B",-1.3851,-0.8394,-0.5457,0.000171033248267682,0.00717615639659827,TRUE,TRUE
"PRKRA",-1.3267,-0.7706,-0.5561,0.00047745915842357,0.0164746117763353,TRUE,TRUE
"USO1",-2.1886,-1.9622,-0.2264,0.000000298285179770561,0.0000297969728065067,TRUE,TRUE
"GMPS",-1.2615,-0.9942,-0.2674,0.00105411429170225,0.0299180050125662,TRUE,TRUE
"EIF2B2",-1.8107,-1.5383,-0.2724,0.000509333407720436,0.0172145346242393,TRUE,TRUE
"EIF2B5",-1.192,-1.0451,-0.1469,0.000851425982889848,0.0256218636823109,TRUE,TRUE
"UBA3",-0.9878,-0.731,-0.2568,0.0000791644996380728,0.00384752000879499,TRUE,TRUE
"TIMM50",-0.7083,-0.3717,-0.3365,0.0000000000103472953063628,0.00000000173270163221094,TRUE,TRUE
"MED21",-0.8407,-0.6847,-0.156,0.000596478262608494,0.0193776536106675,TRUE,TRUE
"MED27",-1.035,-0.8697,-0.1653,0.000820851217110123,0.0251549401426108,TRUE,TRUE
"DHX38",-0.6459,-0.4864,-0.1595,0.00119085469729964,0.0324010982633077,TRUE,TRUE
"CDC6",-1.6231,-1.3515,-0.2716,0.0000445461300599012,0.00235415539555564,TRUE,TRUE
"RBM19",-0.9955,-0.8389,-0.1567,0.0000576719712063422,0.00294270833689979,TRUE,TRUE
"KIF14",-0.7185,-0.5331,-0.1854,0.00179035904578039,0.04344982032052,TRUE,TRUE
