"cohort","variable","rho","p"
"GSE261348","MYC",0.1133,0.137
"GSE261348","NE",0.1689,0.0259
"GSE261348","ASCL1",0.0843,0.268
"GSE261348","NEUROD1",0.5198,0.000000000000199
"GSE261348","POU2F3",0.2738,0.000256
"GSE261348","YAP1",-0.175,0.0209
"GSE261348","MYC (lineage-adjusted)",-0.0223,0.771
"GSE261345","MYC",0.1423,0.12
"GSE261345","NE",-0.3121,0.000492
"GSE261345","ASCL1",-0.4354,0.0000006
"GSE261345","NEUROD1",0.6469,1.1e-15
"GSE261345","POU2F3",0.3268,0.000254
"GSE261345","YAP1",0.1947,0.0324
"GSE261345","MYC (lineage-adjusted)",-0.1719,0.0594
