"cohort","roi","slide","single_patient","segment_type","nuclei","raw_reads","saturation"
"GSE261348","IMF-030 | 001 | Geometric Segment","IMF-030",TRUE,"Geometric Segment",1140,2010060,64.6015973268347
"GSE261348","IMF-030 | 002 | Geometric Segment","IMF-030",TRUE,"Geometric Segment",3990,7114028,58.6519171031695
"GSE261348","IMF-030 | 003 | Geometric Segment","IMF-030",TRUE,"Geometric Segment",3510,5003229,60.0454714389727
"GSE261348","IMF-030 | 004 | Geometric Segment","IMF-030",TRUE,"Geometric Segment",1950,6360849,62.476540828184
"GSE261348","IMF-030 | 005 | Geometric Segment","IMF-030",TRUE,"Geometric Segment",815,1564125,62.2855781343998
"GSE261348","IMF-030 | 006 | Geometric Segment","IMF-030",TRUE,"Geometric Segment",1366,6155586,66.9265095999526
"GSE261348","IMF-030 | 007 | Geometric Segment","IMF-030",TRUE,"Geometric Segment",2008,5929029,62.9393129444731
"GSE261348","IMF-019-020 | 001 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",2827,11746417,62.0460392259115
"GSE261348","IMF-019-020 | 002 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",3653,9965528,60.828929846281
"GSE261348","IMF-019-020 | 003 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",2653,5049624,63.2870296241125
"GSE261348","IMF-019-020 | 004 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",4003,22762741,59.9756616427242
"GSE261348","IMF-019-020 | 006 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",2809,12024754,58.2903109554565
"GSE261348","IMF-019-020 | 007 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",2951,12602902,58.8400376652965
"GSE261348","IMF-019-020 | 008 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",3453,25704994,56.8549410850766
"GSE261348","IMF-019-020 | 009 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",3776,9172739,62.3704738856802
"GSE261348","IMF-019-020 | 010 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",2096,3938443,59.4550052289553
"GSE261348","IMF-019-020 | 011 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",1532,4257459,59.2530748972022
"GSE261348","IMF-019-020 | 012 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",764,2172922,59.0517724708494
"GSE261348","IMF-019-020 | 013 | Geometric Segment","IMF-019-020",FALSE,"Geometric Segment",1640,5711314,61.1544398155091
