"K","observed","expected","ratio","null_lo","null_hi","testable","above_envelope","paralog"
20,0,0.0385096755559834,0,0,25.9675,FALSE,FALSE,"MYC"
23,0,0.0509290459227881,0,0,19.6351606805293,FALSE,FALSE,"MYC"
27,0,0.0701838837007798,0,0,14.2482853223594,FALSE,FALSE,"MYC"
31,0,0.0925194955232502,0,0,10.8085327783559,FALSE,FALSE,"MYC"
35,0,0.117935881390199,0,0,8.47918367346939,FALSE,FALSE,"MYC"
41,0,0.16183691152402,0,0,6.17906008328376,FALSE,FALSE,"MYC"
47,0,0.212669683257919,0,0,4.70212765957447,FALSE,FALSE,"MYC"
54,0,0.280735534803119,0,0,7.1241426611797,FALSE,FALSE,"MYC"
62,0,0.370077982093001,0,0,5.40426638917794,FALSE,FALSE,"MYC"
72,1,0.499085395205545,2.00366512345679,0,4.00733024691358,FALSE,FALSE,"MYC"
83,1,0.663232887262925,1.50776600377413,0,3.01553200754827,FALSE,FALSE,"MYC"
95,1,0.868874554731876,1.15091412742382,0,3.45274238227147,FALSE,FALSE,"MYC"
110,2,1.1649176855685,1.71685950413223,0,3.43371900826446,FALSE,FALSE,"MYC"
127,4,1.55280639260614,2.5759811519623,0,2.5759811519623,FALSE,FALSE,"MYC"
146,4,2.05218061037836,1.94914618127228,0,2.43643272659035,FALSE,FALSE,"MYC"
169,5,2.74968710888611,1.81838871187984,0,2.1820664542558,FALSE,FALSE,"MYC"
194,5,3.62337537306248,1.37992879158253,0.275985758316505,2.20788606653204,FALSE,FALSE,"MYC"
224,7,4.83065370174256,1.44907924107143,0.207011320153061,2.07011320153061,FALSE,FALSE,"MYC"
258,13,6.4083951092712,2.02858902710174,0.312090619554113,1.87254371732468,TRUE,TRUE,"MYC"
298,17,8.54953307018388,1.98841268411333,0.350896356019999,1.7544817801,TRUE,TRUE,"MYC"
343,19,11.3265620487147,1.67747282169844,0.529728259483718,1.58918477845116,TRUE,TRUE,"MYC"
395,24,15.0211803215558,1.59774395128986,0.532581317096619,1.46626293863163,TRUE,TRUE,"MYC"
456,28,20.0188697410224,1.39868036318867,0.599434441366574,1.39868036318867,TRUE,FALSE,"MYC"
525,39,26.5355733127948,1.46972517006803,0.640649433106576,1.3566693877551,TRUE,TRUE,"MYC"
606,48,35.3553480311928,1.35764467535862,0.678822337679312,1.32936041128865,TRUE,TRUE,"MYC"
698,60,46.9051699239434,1.27917668984655,0.746186402410489,1.27917668984655,TRUE,FALSE,"MYC"
805,75,62.3880812554154,1.20215269472628,0.769377724624822,1.23421009991898,TRUE,FALSE,"MYC"
928,97,82.9097910850101,1.1699462600327,0.80810721053805,1.20643169752341,TRUE,FALSE,"MYC"
1069,121,110.018388370078,1.09981614703337,0.836223847331157,1.1725312641926,TRUE,FALSE,"MYC"
1232,159,146.127274477713,1.08809255882105,0.862262027744982,1.14968270365998,TRUE,FALSE,"MYC"
1421,205,194.400789448349,1.05452246660998,0.87962605751369,1.11637921129771,TRUE,FALSE,"MYC"
1638,262,258.30788485607,1.01429346667442,0.898152993391089,1.09946314708219,TRUE,FALSE,"MYC"
1888,340,343.173582362569,0.990752253303648,0.912074868482476,1.08399952420282,TRUE,FALSE,"MYC"
2176,435,455.855973813421,0.954248764935662,0.927924661075368,1.07276207419003,TRUE,FALSE,"MYC"
2508,581,605.570809665929,0.959425373096363,0.939609358505732,1.06015678059873,TRUE,FALSE,"MYC"
2891,770,804.648214113796,0.956939922930226,0.948240469085406,1.04642001961981,TRUE,FALSE,"MYC"
3332,1038,1068.85761047463,0.971130288850234,0.957096614155867,1.03851531684102,TRUE,FALSE,"MYC"
3841,1399,1420.36016174064,0.984961446880867,0.965248137007626,1.03213258122041,TRUE,FALSE,"MYC"
4428,1894,1887.66573601617,1.00335560680208,0.973146338862327,1.02666481836453,TRUE,FALSE,"MYC"
5104,2498,2508.02118032156,0.996004347810065,0.980444271880006,1.02112375289895,TRUE,FALSE,"MYC"
5883,3284,3332.01973620872,0.985588399826419,0.98558089686966,1.01530010859098,TRUE,FALSE,"MYC"
6782,4388,4428.18176566862,0.99092589965928,0.990468601357819,1.01103008794943,TRUE,FALSE,"MYC"
7817,5825,5882.88139019929,0.990161047561537,0.99322077268705,1.00630959683507,TRUE,FALSE,"MYC"
9011,7763,7817.28323866371,0.993055996948501,0.996893647329598,1.00303388793935,TRUE,FALSE,"MYC"
10387,10387,10387,1,1,1,TRUE,FALSE,"MYC"
20,0,0.0385096755559834,0,0,25.9675,FALSE,FALSE,"MYCN"
23,0,0.0509290459227881,0,0,19.6351606805293,FALSE,FALSE,"MYCN"
27,0,0.0701838837007798,0,0,14.2482853223594,FALSE,FALSE,"MYCN"
31,0,0.0925194955232502,0,0,10.8085327783559,FALSE,FALSE,"MYCN"
35,0,0.117935881390199,0,0,8.47918367346939,FALSE,FALSE,"MYCN"
41,0,0.16183691152402,0,0,6.17906008328376,FALSE,FALSE,"MYCN"
47,0,0.212669683257919,0,0,4.70212765957447,FALSE,FALSE,"MYCN"
54,0,0.280735534803119,0,0,3.65112311385451,FALSE,FALSE,"MYCN"
62,0,0.370077982093001,0,0,5.40426638917794,FALSE,FALSE,"MYCN"
72,0,0.499085395205545,0,0,4.00733024691358,FALSE,FALSE,"MYCN"
83,1,0.663232887262925,1.50776600377413,0,3.01553200754827,FALSE,FALSE,"MYCN"
95,1,0.868874554731876,1.15091412742382,0,3.45274238227147,FALSE,FALSE,"MYCN"
110,1,1.1649176855685,0.858429752066116,0,2.57528925619835,FALSE,FALSE,"MYCN"
127,4,1.55280639260614,2.5759811519623,0,2.5759811519623,FALSE,FALSE,"MYCN"
146,4,2.05218061037836,1.94914618127228,0,2.43643272659035,FALSE,FALSE,"MYCN"
169,7,2.74968710888611,2.54574419663177,0,2.1820664542558,FALSE,TRUE,"MYCN"
194,9,3.62337537306248,2.48387182484855,0,2.20788606653204,FALSE,TRUE,"MYCN"
224,12,4.83065370174256,2.48413584183673,0.207011320153061,1.86827716438137,FALSE,TRUE,"MYCN"
258,14,6.4083951092712,2.18463433687879,0.312090619554113,1.72039954029205,TRUE,TRUE,"MYCN"
298,16,8.54953307018388,1.87144723210666,0.350896356019999,1.63751632809333,TRUE,TRUE,"MYCN"
343,24,11.3265620487147,2.11891303793487,0.529728259483718,1.58918477845116,TRUE,TRUE,"MYCN"
395,27,15.0211803215558,1.79746194520109,0.532581317096619,1.4645986220157,TRUE,TRUE,"MYCN"
456,31,20.0188697410224,1.54853897353032,0.599434441366574,1.39868036318867,TRUE,TRUE,"MYCN"
525,37,26.5355733127948,1.39435464852608,0.640649433106576,1.35761151927438,TRUE,TRUE,"MYCN"
606,42,35.3553480311928,1.1879390909388,0.707106601749284,1.30178325382043,TRUE,FALSE,"MYCN"
698,56,46.9051699239434,1.19389824385678,0.746186402410489,1.25785707834911,TRUE,FALSE,"MYCN"
805,73,62.3880812554154,1.17009528953358,0.768977007059913,1.23421009991898,TRUE,FALSE,"MYCN"
928,102,82.9097910850101,1.23025276828181,0.795744376346983,1.19406886333234,TRUE,TRUE,"MYCN"
1069,127,110.018388370078,1.15435248490279,0.835996612590034,1.1634418745477,TRUE,FALSE,"MYCN"
