"paralog","gene","moes_score","rank","fdr","cis_rank","func_rank","boot_rank_lo","boot_rank_hi","rel_interval_width","stable","in_regulon"
"MYC","TP53",0.0000857171174404869,1,0.4605,68,14,1,65,0.0062,TRUE,TRUE
"MYC","INSM1",0.00022430301060335,2,0.5853,6,110,1,412,0.0396,TRUE,TRUE
"MYC","CHD7",0.000253759001004071,3,0.439266666666667,79,117,1,442,0.0425,TRUE,TRUE
"MYC","PROSER3",0.00029430037986271,4,0.382675,63,126,2,466,0.0446,TRUE,TRUE
"MYC","TRAF7",0.000385078218120727,5,0.662333333333333,1,9860,4,8672,0.8345,FALSE,TRUE
"MYC","ZNF316",0.000385078218120727,5,0.662333333333333,420,1,1,8,0.0006,TRUE,FALSE
"MYC","CDKN2C",0.000516990633282383,7,0.6663,167,44,1,186,0.0178,TRUE,TRUE
"MYC","NR1D1",0.000770119361364063,8,0.8787,2,5925,4,4870,0.4684,FALSE,TRUE
"MYC","RPL7L1",0.000770119361364063,8,0.8787,6454,2,4,12,0.0008,TRUE,FALSE
"MYC","NKX2-1",0.000794310719119252,10,0.80726,20,207,6,635,0.0606,TRUE,TRUE
"MYC","BAHCC1",0.000817501055174194,11,0.744336363636364,210,147,5,520,0.0496,TRUE,TRUE
"MYC","BCOR",0.00102373006285703,12,0.770016666666667,22,235,8,982,0.0938,TRUE,TRUE
"MYC","TIMM50",0.00103246119657555,13,0.714369230769231,236,13,1,62,0.0059,TRUE,TRUE
"MYC","TMC6",0.00110364496192405,14,0.689764285714286,244,134,3,490,0.0468,TRUE,TRUE
"MYC","CACNA1A",0.00112181165203904,15,0.650053333333333,246,163,5,556,0.053,TRUE,TRUE
"MYC","CDC6",0.0011493397487949,16,0.61835625,249,57,1,237,0.0227,TRUE,TRUE
"MYC","CABLES2",0.00115512342972934,17,0.658272222222222,3,8040,6,8670,0.8342,FALSE,TRUE
"MYC","KRT8",0.00115512342972934,17,0.658272222222222,523,3,1,20,0.0018,TRUE,FALSE
"MYC","SOX4",0.00117720151945084,19,0.631305263157895,252,73,1,302,0.029,TRUE,TRUE
"MYC","U2AF2",0.00131163502630171,20,0.63478,266,224,9,959,0.0915,TRUE,TRUE
"MYC","SOX11",0.00142235914880863,21,0.6318,277,229,10,980,0.0934,TRUE,TRUE
"MYC","ACO2",0.00151628835167865,22,0.625040909090909,286,186,6,599,0.0571,TRUE,TRUE
"MYC","CXXC5",0.00154009042321723,23,0.6587,4,525,8,1367,0.1308,TRUE,TRUE
"MYC","LRRC9",0.00154009042321723,23,0.6587,6454,4,12,24,0.0012,TRUE,FALSE
"MYC","BICRA",0.00159142059151132,25,0.643264,242,293,16,1112,0.1055,TRUE,TRUE
"MYC","NKAIN3",0.00192502034182684,26,0.728822222222222,6454,5,14,28,0.0013,TRUE,FALSE
"MYC","PIM3",0.00192502034182684,26,0.728822222222222,5,1993,6,1800,0.1727,TRUE,TRUE
"MYC","TLE6",0.00198218980337237,28,0.713867857142857,291,327,20,1192,0.1129,TRUE,TRUE
"MYC","RASA3",0.00208036407974884,29,0.706186206896552,335,265,13,1064,0.1012,TRUE,TRUE
"MYC","DGCR8",0.00228383100903664,30,0.716986666666667,351,307,17,1146,0.1086,TRUE,TRUE
"MYC","DNA2",0.00230991318555906,31,0.760638709677419,6454,6,18,32,0.0014,TRUE,FALSE
"MYC","RPS2",0.00236257804945342,32,0.744934375,357,94,2,373,0.0357,TRUE,TRUE
"MYC","PRUNE1",0.00245613650354558,33,0.736884848484848,295,364,23,1280,0.121,TRUE,TRUE
"MYC","CDT1",0.00246965029649846,34,0.717232352941176,365,122,2,458,0.0439,TRUE,TRUE
"MYC","IP6K3",0.00269476895441301,35,0.762586111111111,7,6533,8,5992,0.576,FALSE,TRUE
"MYC","ZSCAN12",0.00269476895441301,35,0.762586111111111,6454,7,22,36,0.0014,TRUE,FALSE
"MYC","ISCU",0.00287767786396873,37,0.767716216216216,156,394,27,1364,0.1287,TRUE,TRUE
"MYC","C2orf92",0.00307958764838934,38,0.803038461538462,6454,8,24,42,0.0016,TRUE,FALSE
"MYC","NCOR2",0.00307958764838934,38,0.803038461538462,8,8149,10,8676,0.8343,FALSE,TRUE
"MYC","ASXL2",0.00346436926748828,40,0.856582926829268,6454,9,26,46,0.0019,TRUE,FALSE
"MYC","TLE3",0.00346436926748828,40,0.856582926829268,9,6776,8,6274,0.6032,FALSE,TRUE
"MYC","CHD3",0.00365439655357868,42,0.847757142857143,214,444,34,1512,0.1423,TRUE,TRUE
"MYC","TIMP2",0.00384911381170894,43,0.863690909090909,10,1874,8,1808,0.1733,TRUE,TRUE
"MYC","ZSCAN26",0.00384911381170894,43,0.863690909090909,6454,10,32,50,0.0017,TRUE,FALSE
"MYC","CAMKK1",0.00397385223801897,45,0.85068,76,463,36,1565,0.1472,TRUE,TRUE
"MYC","FOXA1",0.00420013875458386,46,0.843826086956522,30,476,24,1596,0.1512,TRUE,TRUE
"MYC","SAPCD2",0.00423382128105221,47,0.850191666666667,11,4821,10,5122,0.4921,FALSE,TRUE
"MYC","YTHDF3",0.00423382128105221,47,0.850191666666667,6454,11,35,54,0.0018,TRUE,FALSE
"MYC","LDB1",0.0043965058447757,49,0.840351020408163,193,487,40,1640,0.1541,TRUE,TRUE
"MYC","HSD17B11",0.00452380243765282,50,0.829088,336,494,42,1667,0.1564,TRUE,TRUE
"MYC","NAA38",0.00459735899517961,51,0.816147058823529,215,498,43,1674,0.1571,TRUE,TRUE
"MYC","ETNK1",0.00461849167551742,52,0.822156603773585,6454,12,36,58,0.0021,TRUE,FALSE
"MYC","TCF20",0.00461849167551742,52,0.822156603773585,12,3255,16,1825,0.1741,TRUE,TRUE
"MYC","POLRMT",0.00487847925598951,54,0.817472222222222,98,513,43,1710,0.1604,TRUE,TRUE
"MYC","MAP2K3",0.00500312499510525,55,0.841827272727273,13,6091,22,5052,0.4842,FALSE,TRUE
"MYC","ARSJ",0.00507052712291932,56,0.854164615384615,523,349,21,1244,0.1178,TRUE,FALSE
"MYC","ATXN1",0.00507052712291932,56,0.854164615384615,523,319,18,1172,0.1111,TRUE,FALSE
"MYC","CNOT6L",0.00507052712291932,56,0.854164615384615,523,365,24,1282,0.1212,TRUE,FALSE
"MYC","FNBP4",0.00507052712291932,56,0.854164615384615,523,422,32,1448,0.1363,TRUE,FALSE
"MYC","FOXG1",0.00507052712291932,56,0.854164615384615,523,288,14,1102,0.1048,TRUE,FALSE
"MYC","MRPL54",0.00507052712291932,56,0.854164615384615,523,352,22,1250,0.1182,TRUE,FALSE
"MYC","OVOL2",0.00507052712291932,56,0.854164615384615,523,277,14,1082,0.1028,TRUE,FALSE
"MYC","TFDP1",0.00507052712291932,56,0.854164615384615,523,169,7,571,0.0543,TRUE,FALSE
"MYC","UBTF",0.00507052712291932,56,0.854164615384615,523,157,6,546,0.052,TRUE,FALSE
"MYC","UPF1",0.00507052712291932,56,0.854164615384615,523,103,2,406,0.0388,TRUE,FALSE
