"palette","worst_dE","limiting","bg_contrast","pass_colourblind","pass_background","pass","cols"
"current (config, M1)",12.7,"deutan",55.9,FALSE,TRUE,FALSE,"#B2182B #2166AC #1B7837"
"Okabe-Ito verm/blue/orange",18.4,"deutan",29.3,TRUE,FALSE,FALSE,"#D55E00 #0072B2 #E69F00"
"Okabe-Ito verm/blue/purple",22.5,"protan",38.9,TRUE,TRUE,TRUE,"#D55E00 #0072B2 #CC79A7"
"Okabe-Ito blue/orange/green",16.5,"tritan",29.3,TRUE,FALSE,FALSE,"#0072B2 #E69F00 #009E73"
"red/blue/purple",15.5,"protan",57.6,TRUE,TRUE,TRUE,"#B2182B #2166AC #762A83"
"dark red/mid blue/gold",44.3,"deutan",22.6,TRUE,FALSE,FALSE,"#A50026 #4575B4 #FDAE61"
"verm/navy/light-orange",28.5,"deutan",18.5,TRUE,FALSE,FALSE,"#D55E00 #08519C #FDBF6F"
"purple/orange/teal",30.5,"protan",36.7,TRUE,TRUE,TRUE,"#762A83 #E08214 #1B7837"
"dark red/blue/dark orange",24,"tritan",52.2,TRUE,TRUE,TRUE,"#A50026 #2166AC #B35806"
"dark red/blue/teal",10.9,"tritan",57.6,FALSE,TRUE,FALSE,"#A50026 #2166AC #01665E"
"crimson/teal/purple",20.3,"protan",61.5,TRUE,TRUE,TRUE,"#B2182B #01665E #762A83"
