"fold","rule","n_MYC","n_MYCN","n_MYCL1","mycn_in_myc","mycl1_in_myc"
1.5,"union",50420,29507,31391,0.78,0.741
1.5,"ge2",27205,7598,11504,0.879,0.782
1.5,"all",6087,7598,11504,0.465,0.397
2,"union",35146,15988,19545,0.753,0.698
2,"ge2",17693,3175,5954,0.886,0.774
2,"all",3736,3175,5954,0.51,0.394
3,"union",18684,4838,7613,0.741,0.659
3,"ge2",8745,616,1650,0.891,0.756
3,"all",1473,616,1650,0.565,0.381
4,"union",10941,1750,3014,0.71,0.653
4,"ge2",4786,147,468,0.884,0.756
4,"all",622,147,468,0.483,0.376
