"sample","assay","line","pct_regions_nonzero","median_mean_signal","mean_mean_signal","max_mean_signal"
"H3K27ac_COLO668","H3K27ac","COLO668",98.7,1.679,4.097,172.5
"H3K27ac_H1048","H3K27ac","H1048",99.7,2.893,5.656,144.3
"H3K27ac_H196","H3K27ac","H196",92.9,1.491,4.538,140
"H3K27ac_H211","H3K27ac","H211",99.8,3.511,5.405,173.9
"H3K27ac_H524","H3K27ac","H524",97.6,1.798,4.056,362.7
"H3K27ac_H526","H3K27ac","H526",97.4,2.201,4.743,320.8
"H3K27ac_H69","H3K27ac","H69",95.5,1.994,3.711,293
"H3K27ac_H847","H3K27ac","H847",99.1,2.925,6.183,238.6
"H3K27ac_H889","H3K27ac","H889",94.9,1.771,5.202,320.1
"H3K27ac_SHP77","H3K27ac","SHP77",98.3,3.22,10.207,207.3
"MYC_H1048","MYC","H1048",98.2,1.871,2.578,128.2
"MYC_H211","MYC","H211",96,1.737,2.61,118.4
"MYC_H524","MYC","H524",99.5,2.925,4.35,333.2
"MYC_H847","MYC","H847",99.1,2.899,4.65,292
"MYC_SHP77","MYC","SHP77",95.1,1.185,1.596,96.1
"MYCL1_COLO668","MYCL1","COLO668",99.8,2.247,2.795,199
"MYCL1_H889","MYCL1","H889",98.8,2.686,3.48,262.3
"MYCN_H526","MYCN","H526",99.8,3.294,4.093,207.4
"MYCN_H69","MYCN","H69",99.6,2.974,3.455,214.4
"ATAC_COLO668","ATAC","COLO668",99.7,3.149,3.861,114.2
"ATAC_H1048","ATAC","H1048",99.8,2.945,4.385,45.6
"ATAC_H196","ATAC","H196",97.2,1.362,1.849,118.8
"ATAC_H524","ATAC","H524",98.4,1.855,2.909,38.6
"ATAC_H526","ATAC","H526",99.9,5.048,6.247,102.8
"ATAC_H69","ATAC","H69",99.9,5.742,6.625,152.5
"ATAC_H847","ATAC","H847",99.5,2.568,3.968,156.3
"ATAC_H889","ATAC","H889",99.6,2.562,3.354,126.3
"ATAC_SHP77","ATAC","SHP77",99.6,5.044,6.181,55.5
