"line","n_constituents","n_stitched","n_SE","median_SE_width","max_SE_width","n_SE_in_amplicon","n_top10_in_amplicon","pct_of_stitched"
"COLO668",20784,12884,588,14231,102831,5,0,4.6
"H1048",11964,8238,544,8892.5,77037,0,0,6.6
"H196",16710,11519,699,9077,80863,0,0,6.1
"H211",7586,5793,172,11913.5,94370,0,0,3
"H524",12474,8746,170,15494,100554,0,0,1.9
"H526",13623,9649,460,10524,65541,10,1,4.8
"H69",14562,9864,344,13184.5,130883,2,0,3.5
"H847",16364,10335,216,18317.5,102831,0,0,2.1
"H889",16943,10724,472,14876.5,75966,3,0,4.4
"SHP77",22256,14766,660,12955.5,86385,0,0,4.5
