"multiple","min_lines","n_regions","total_mb","pct_genome","pct_promoter","tss_enrichment","pct_ext_corrob","median_width"
2.5,1,478619,212.4,6.995,5.3,2.9,42.4,292
2.5,2,161996,122.5,4.034,11,6.05,71,576
2.5,3,85946,84.1,2.77,17.7,9.72,85,782
2.5,4,53950,62.8,2.068,25.3,13.9,91,957
2.5,5,36181,48.6,1.599,34.6,18.99,93.7,1150
2.5,6,25647,38.7,1.275,44.7,24.58,94.9,1326
2.5,7,18798,31.3,1.031,55.6,30.54,95.7,1483
2.5,8,14122,25.3,0.834,66.1,36.3,96.7,1597.5
2.5,9,9616,18.3,0.602,75.5,41.49,97.5,1696
2,1,897764,383.2,12.619,3.4,1.89,28.2,270
2,2,312144,232.2,7.647,6.9,3.77,52.8,550
2,3,157127,158.8,5.231,11.3,6.22,71.1,789
2,4,93147,116,3.821,16.8,9.21,82.3,1001
2,5,59430,87.2,2.871,23.8,13.07,88.4,1214
2,6,39406,66.5,2.189,32.6,17.94,91.9,1438
2,7,26725,50.8,1.673,43.6,23.94,93.7,1651
2,8,18441,38.8,1.278,56.1,30.85,94.9,1839
2,9,11438,26,0.858,69.8,38.34,96.3,1992.5
3,1,331613,152.2,5.014,6.7,3.68,50.8,313
3,2,116040,86.7,2.855,14,7.67,78.1,578
3,3,63688,59.9,1.972,22,12.1,89.6,762
3,4,40739,45.1,1.485,31,17.04,93.8,926
3,5,27706,35.1,1.156,41.7,22.92,95.6,1102
3,6,20233,28.6,0.94,52.5,28.86,96.4,1258
3,7,15351,23.6,0.776,63.2,34.72,97,1378
3,8,11741,19.1,0.63,71.7,39.39,97.6,1464
3,9,7795,13.4,0.44,78.8,43.28,98.2,1551
4,1,174430,95,3.13,9.7,5.34,62.7,410
4,2,62874,51.3,1.69,20.8,11.46,87.2,669
4,3,34522,34.7,1.144,33.4,18.37,95.3,862
4,4,22449,26.2,0.863,46.4,25.53,97.5,1038
4,5,16151,21,0.691,58.8,32.31,98.2,1174
4,6,12455,17.4,0.573,68.5,37.66,98.5,1269
4,7,9878,14.5,0.477,75.2,41.31,98.6,1333
4,8,7561,11.5,0.38,79.5,43.68,98.7,1387
4,9,4720,7.5,0.246,83.4,45.83,98.7,1447
