"multiple","threshold","n_regions","median_width","total_mb","precision","recall","f1","jaccard"
2,3.359,17413,253,6.5,0.255,0.352,0.2957,0.1735
3,5.039,5325,318,2.45,0.467,0.2434,0.32,0.1905
4,6.719,3957,336,1.85,0.527,0.2075,0.2977,0.1749
5,8.398,2631,344,1.2,0.5969,0.1522,0.2425,0.138
6,10.078,1961,333,0.84,0.649,0.1161,0.197,0.1092
8,13.437,1303,308,0.51,0.685,0.0743,0.1341,0.0718
10,16.797,874,291,0.32,0.7188,0.0494,0.0924,0.0485
12,20.156,548,268.5,0.18,0.7478,0.0291,0.056,0.0288
15,25.195,290,250.5,0.09,0.7674,0.0145,0.0285,0.0145
20,33.593,107,251,0.03,0.787,0.005,0.0099,0.005
