"dataset","file","check","value","expected","pass","note"
"GSE230649","GSM7230493_H3K27Ac_COLO668_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230493_H3K27Ac_COLO668_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230493_H3K27Ac_COLO668_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230493_H3K27Ac_COLO668_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230494_H3K27Ac_H1048_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230494_H3K27Ac_H1048_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230494_H3K27Ac_H1048_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230494_H3K27Ac_H1048_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230495_H3K27Ac_H196_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230495_H3K27Ac_H196_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230495_H3K27Ac_H196_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230495_H3K27Ac_H196_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230496_H3K27Ac_H211_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230496_H3K27Ac_H211_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230496_H3K27Ac_H211_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230496_H3K27Ac_H211_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230497_H3K27Ac_H524_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230497_H3K27Ac_H524_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230497_H3K27Ac_H524_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230497_H3K27Ac_H524_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230498_H3K27Ac_H526_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230498_H3K27Ac_H526_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230498_H3K27Ac_H526_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230498_H3K27Ac_H526_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230499_H3K27Ac_H69_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230499_H3K27Ac_H69_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230499_H3K27Ac_H69_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230499_H3K27Ac_H69_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230500_H3K27Ac_H847_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230500_H3K27Ac_H847_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230500_H3K27Ac_H847_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230500_H3K27Ac_H847_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230501_H3K27Ac_H889_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230501_H3K27Ac_H889_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230501_H3K27Ac_H889_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230501_H3K27Ac_H889_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230502_H3K27Ac_SHP77_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230502_H3K27Ac_SHP77_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230502_H3K27Ac_SHP77_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230502_H3K27Ac_SHP77_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230503_MYC_H1048_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230503_MYC_H1048_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230503_MYC_H1048_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230503_MYC_H1048_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230504_MYC_H211_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230504_MYC_H211_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230504_MYC_H211_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230504_MYC_H211_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
"GSE230649","GSM7230505_MYC_H524_R1_treat_pileup.bedgraph.gz","seqname_style","Ensembl","UCSC or Ensembl",TRUE,"MUST pass through harmonise_seqnames() before any coordinate join"
"GSE230649","GSM7230505_MYC_H524_R1_treat_pileup.bedgraph.gz","start_lt_end","0","0",TRUE,""
"GSE230649","GSM7230505_MYC_H524_R1_treat_pileup.bedgraph.gz","build_assertion_hg19","24 chroms compared","within hg19 bounds, >=20 chroms",TRUE,"all 24 chromosomes within hg19 bounds"
"GSE230649","GSM7230505_MYC_H524_R1_treat_pileup.bedgraph.gz","analysis_chroms_present","23/23","23 (chr1-22,X)",TRUE,""
